City,Type,Area,Price,Purpose,Location,Built in year,Electricity Backup,Floors,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Lawn or Garden,Luxury_Score
Karachi,Flat,122 Sq. Yd.,"PKR
1.05 Crore",For Sale,"Gadap Town, Karachi, Sindh",2023.0,0.0,,2,2,1.0,1.0,,0
Karachi,Flat,94 Sq. Yd.,"PKR
1.05 Crore",For Sale,"North Nazimabad, Karachi, Sindh",,0.0,,2,2,,1.0,,0
Karachi,Flat,156 Sq. Yd.,"PKR
80 Lakh",For Sale,"Bahria Town Karachi, Karachi, Sindh",,0.0,,2,3,,1.0,,0
Karachi,House,235 Sq. Yd.,"PKR
1.3 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2007.0,0.0,3.0,3,3,2.0,2.0,,0
Karachi,Flat,222 Sq. Yd.,"PKR
3 Crore",For Sale,"Malir Link To Super Highway, Karachi, Sindh",2024.0,0.0,,3,3,1.0,1.0,,0
Karachi,Flat,210 Sq. Yd.,"PKR
2.7 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2024.0,0.0,,3,3,,1.0,,0
Karachi,Flat,356 Sq. Yd.,"PKR
11 Crore",For Sale,"Bath Island, Karachi, Sindh",2024.0,0.0,,4,5,1.0,1.0,,0
Karachi,House,120 Sq. Yd.,"PKR
4 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,0.0,,4,4,,,,0
Karachi,Flat,317 Sq. Yd.,"PKR
9.15 Crore",For Sale,"Clifton, Karachi, Sindh",,0.0,,4,4,,,,0
Karachi,Flat,200 Sq. Yd.,"PKR
2.75 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2024.0,0.0,,-,-,1.0,2.0,,0
Karachi,House,500 Sq. Yd.,"PKR
21.75 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,5,6,1.0,2.0,,0
Karachi,House,240 Sq. Yd.,"PKR
7.5 Crore",For Sale,"Clifton, Karachi, Sindh",2020.0,0.0,2.0,4,4,1.0,1.0,,0
